1	EDITIONIS
2	* spatiuro unius litterae relictum a librario
3	* * spatium binarum litterarum relictum a librario
4	—— paragraphus ad sioistram subter versus clausulam continentis initium posita a librario
5	—— capitis clausula eodem moclo notata a librario
6	litterae expunctae a librario
7	litterae deletae a librario
8	vestigia litterarum oblitarum a librario
9	[ααα]litterae additae aut super versura aut iu margine a librario
10	(ααα) litterae siglis significatae
11	[ααα] litterae coniectura aut pro oblitteratis aut pro falso scriptis positae ab editore
12	[ααα] litterae deletae ab editore
13	<ααα> litterae additae ab editore
14	ααα litterae ambiguae aut non cert lectae ab editore
15	NOTARUM
16	Ρ papyri Londiuensis CXXXVII scriptor idemque corrector
17	K F. G. Kenyon
